
Epoch 70, loss 9.083421835461733, train accuracy: 87.56%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 71, loss 8.925520713272036, train accuracy: 86.67%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 72, loss 8.866851174823134, train accuracy: 87.11%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 73, loss 8.992269637871411, train accuracy: 86.22%, Validation accuracy: 69.00%, Best Valid accuracy: 74.00%
Epoch 74, loss 8.315891488487997, train accuracy: 88.67%, Validation accuracy: 65.00%, Best Valid accuracy: 74.00%
Epoch 75, loss 9.741778181400635, train accuracy: 84.67%, Validation accuracy: 69.00%, Best Valid accuracy: 74.00%
Epoch 76, loss 9.099756172119045, train accuracy: 86.00%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 77, loss 8.136842157334039, train accuracy: 88.22%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 78, loss 7.867596316306275, train accuracy: 88.22%, Validation accuracy: 65.00%, Best Valid accuracy: 74.00%
Epoch 79, loss 8.838712981818203, train accuracy: 88.67%, Validation accuracy: 66.00%, Best Valid accuracy: 74.00%
Epoch 80, loss 8.517259268330108, train accuracy: 88.44%, Validation accuracy: 66.00%, Best Valid accuracy: 74.00%
Epoch 81, loss 8.722513853229463, train accuracy: 86.89%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 82, loss 8.240177360309486, train accuracy: 87.56%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 83, loss 8.591516805641309, train accuracy: 86.89%, Validation accuracy: 66.00%, Best Valid accuracy: 74.00%
Epoch 84, loss 8.529324728389984, train accuracy: 86.22%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 85, loss 9.02047552703101, train accuracy: 85.33%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 86, loss 9.188308628264517, train accuracy: 84.89%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 87, loss 8.56993734112089, train accuracy: 86.22%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 88, loss 8.016769522831192, train accuracy: 87.78%, Validation accuracy: 66.00%, Best Valid accuracy: 74.00%
Epoch 89, loss 7.7397693975857385, train accuracy: 87.11%, Validation accuracy: 71.00%, Best Valid accuracy: 74.00%
Epoch 90, loss 8.137148578230466, train accuracy: 88.22%, Validation accuracy: 67.00%, Best Valid accuracy: 74.00%
Epoch 91, loss 8.238849471613637, train accuracy: 88.67%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
Epoch 92, loss 8.002240809829786, train accuracy: 86.67%, Validation accuracy: 68.00%, Best Valid accuracy: 74.00%
